€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
AMV €80,000 	 Derry, Tourmakeady, Mayo
€122,000  -€3,000 on 22nd Oct 19 	 Riverside Drive, Quay Road, Ballina, Co Mayo, F26 X3W6
€50,000 	 Blackie`s Place, Weatherfort, Clogher, , Claremorris, Mayo
€165,000 	 23 Ashwood Avenue, Ballinrobe Road, Westport, Co Mayo
€45,000 	 Kilgarriff, Cloontia, Carracastle, Charlestown, Mayo
€169,000 	 74 Lakeview, Castlebar, Mayo
€145,000 	 26 The Maples, Ballyhaunis, Co. Mayo
€100,000 	 Barrack Street, Charlestown, Mayo
Reserve Not To Exceed €145,000 	 2, 3, 5, 6 and 7 Ceide Court, Ballycastle, Co. Mayo
€135,000 	 22 Lowpark Avenue, Charlestown, Mayo
€125,000 	 Meelick, Killala, Mayo
Reserve Not To Exceed €30,000 	 Incomplete House Brackloonagh, Ballina, Co. Mayo
€275,000  -€14,000 on 20th Jun 19 	 Shancarrig House, Cahir, Louisburgh, Mayo
€260,000 	 Furrigal, Kilsallagh, , Westport, Mayo
€240,000 	 Altamount Street, Westport, Mayo
€160,000 	 Mullagh, Kilsallagh, Westport, Mayo
€35,000 	 Circa 0.98 Acre Site at Lawaus, Ballindine, Claremorris, Mayo
€350,000 	 Carnaclay, Westport, Mayo
AMV €45,000 	 Ballyglass, Kilmovee, Mayo
Reserve Not To Exceed €60,000 	 21 The Bowers, Main Street, Ballinrobe, Co. Mayo
